data,hora,event,valor,duracao




26/6/2026,15:12:35,BOCEJO,0.227172,15
26/6/2026,15:30:55,BOCEJO,0.33284,15
26/6/2026,15:31:2,BOCEJO,0.141788,15
26/6/2026,15:31:11,BOCEJO,0.0562153,15
26/6/2026,15:31:20,BOCEJO,0.0964721,15
26/6/2026,19:59:6,BOCEJO,0.13248,15
26/6/2026,19:59:11,SONOLENCIA,0.211993,20
26/6/2026,19:59:27,BOCEJO,0.0982958,15
26/6/2026,19:59:31,SONOLENCIA,0.185724,20
26/6/2026,19:59:35,BOCEJO,0.122858,15
26/6/2026,19:59:38,SONOLENCIA,0.171914,20
26/6/2026,19:59:43,BOCEJO,0.0793964,15
26/6/2026,19:59:48,SONOLENCIA,0.2075,20
26/6/2026,19:59:49,BOCEJO,0.083668,15
26/6/2026,20:0:40,SONOLENCIA,0.195813,20
26/6/2026,20:15:11,SONOLENCIA,0.222464,20
26/6/2026,20:16:5,SONOLENCIA,0.214581,20
26/6/2026,20:16:13,SONOLENCIA,0.223495,20
26/6/2026,21:36:45,SONOLENCIA,0.21453,20
26/6/2026,21:36:56,SONOLENCIA,0.238941,20
26/6/2026,21:37:14,SONOLENCIA,0.199144,20
26/6/2026,21:37:24,SONOLENCIA,0.224583,20
26/6/2026,21:37:41,SONOLENCIA,0.204515,20
26/6/2026,22:1:11,BOCEJO,0.0361086,15
26/6/2026,22:1:13,SONOLENCIA,0.20768,20
26/6/2026,22:1:20,SONOLENCIA,0.23622,20
26/6/2026,22:1:34,SONOLENCIA,0.193909,20
26/6/2026,22:4:53,BOCEJO,0.0224139,15
26/6/2026,22:4:54,SONOLENCIA,0.208194,20
26/6/2026,22:5:37,SONOLENCIA,0.195064,20
26/6/2026,22:5:42,SONOLENCIA,0.181044,20
26/6/2026,22:5:57,BOCEJO,0.0452611,15
26/6/2026,22:5:57,SONOLENCIA,0.199174,20
26/6/2026,22:6:9,SONOLENCIA,0.200281,20
26/6/2026,22:35:7,SONOLENCIA,0.174059,20
26/6/2026,22:35:24,SONOLENCIA,0.233346,20
26/6/2026,22:35:34,SONOLENCIA,0.208771,20
26/6/2026,22:35:44,SONOLENCIA,0.212496,20
26/6/2026,22:36:9,SONOLENCIA,0.213481,20
26/6/2026,23:36:59,SONOLENCIA,0.241168,20
26/6/2026,23:37:2,BOCEJO,0.115069,15
26/6/2026,23:37:10,BOCEJO,0.0764474,15
26/6/2026,23:37:14,BOCEJO,0.0579617,15
26/6/2026,23:37:18,SONOLENCIA,0.248945,20
26/6/2026,23:37:25,BOCEJO,0.098369,15
26/6/2026,23:37:28,SONOLENCIA,0.245359,20
26/6/2026,23:40:29,SONOLENCIA,0.187063,20
26/6/2026,23:40:40,BOCEJO,0.139298,15
26/6/2026,23:40:52,BOCEJO,0.102839,15
26/6/2026,23:41:7,BOCEJO,0.166153,15
26/6/2026,23:42:8,SONOLENCIA,0.244273,20
26/6/2026,23:42:29,SONOLENCIA,0.192594,20
26/6/2026,23:42:38,BOCEJO,0.0843809,15
26/6/2026,23:42:43,BOCEJO,0.197276,15
26/6/2026,23:42:48,SONOLENCIA,0.236777,20
26/6/2026,23:43:4,BOCEJO,0.113328,15
